3,14053.2,139556,-5.24E+03,34,315,5844
4,10496,17643.2,-3847.98,82,172,973
4,4435.85,2782.25,-1415.3,44,67,224
0,11925.6,72178,-6043,38,272,3296
3,12635.2,90676.4,-5.46E+03,53,254,3885
2,5814.03,4243.12,-1517.43,126,88,318
5,7645.16,6796.8,-2.06E+03,12,119,395
0,6910.29,13650,-2795,19,119,846
4,16512.4,195641,-8.66E+03,59,390,7459
2,4018.94,2191.37,-1029.73,20,54,165
3,12477.7,113386,-3.34E+03,39,235,4905
4,8783.81,50394.6,9.73E+01,24,188,2599
3,10459.9,26966,-4195.91,51,214,1469
0,7564.5,7627,-1351,15,130,519
5,9680.1,30163.9,-3224.97,125,171,1747
0,4454.01,1399,-1112,8,61,101
5,12274,71561,-5733.48,28,262,3211
4,8831.18,11432.2,-3178.81,47,156,654
0,21245.6,278356,-10419,74,461,9551
3,17578,110814,-4.37E+03,37,322,4619
4,9440.43,33273.9,-3639.07,87,176,1922
0,3619.91,2399,-977,7,56,183
0,13178.4,96392,-6243,99,266,3891
2,11764.3,43710.6,-4.08E+03,57,223,2059
0,11010.2,30151,-3268,33,208,1362
4,12401.7,101856,-4.87E+03,57,322,4619
4,16577.2,143215,-7339.09,177,362,5847
4,10494.4,38959.8,-4102.01,25,193,2118
3,6411.43,10238.9,-2.74E+03,13,109,689
1,10518.1,68491.6,-5548.85,150,247,3373
4,15792.7,194197,-9.76E+03,66,390,7459
2,5337.44,2971.52,-1143.56,36,67,224
1,9017.98,17485.2,-4207.57,32,183,931
2,6161.4,7373.75,-1608.45,48,93,545
2,7527.74,9186.88,-3124.92,21,138,554
4,24315.8,488119,-1.32E+04,49,483,15505
0,13458.1,128005,-5575,55,302,5316
4,9186.84,52233.1,-4.21E+03,30,188,2599
3,7210.83,15829.1,-2686.69,68,134,970
0,26182.1,659751,-20749,108,715,20635
3,12258.4,78527.8,-5.46E+03,45,272,3539
3,13760.7,141937,-6159.39,191,308,6057
0,9691.76,14793,-5486,131,179,815
0,10599.9,38298,-4760,39,204,1874
3,3939.38,1930.02,-1147.13,8,63,166
3,11996.2,61105,-5.28E+03,38,247,2754
2,5002.41,4234.55,-1.08E+03,9,79,317
4,9101.24,11546.1,-3076.27,40,156,654
5,12233.2,53072.3,-4233.62,97,209,2534
3,3297.39,1274.88,-663.558,32,40,100
0,4467.21,1369,-1350,14,68,87
4,9238.98,11717.2,-3001.95,38,156,654
0,14274.7,70276,-7360,36,284,3218
0,7144.95,5179.73,-1280.34,28,83,226
0,13013,123693,-8405,58,281,4915
3,8539.79,25475.6,-3215.75,36,157,1519
0,20859.3,224605,-9724,48,433,8218
1,5840.57,4757.93,-1.43E+03,20,85,343
2,3943.18,1470.1,-982.427,42,52,133
3,24190.2,280121,-1.29E+04,72,540,8870
3,16745.6,144394,-3.72E+03,49,315,5844
4,5338.64,4385.53,-1.98E+03,22,85,343
0,7499.88,20869,-2949,8,144,1158
4,13394.2,60238.6,-3.16E+03,59,223,2822
0,18597.2,131156,-10594,9,260,2983
4,9251.47,10649.9,8.53E+02,27,149,549
4,25168.6,273970,-9.40E+03,106,537,8350
0,8491.57,14231,-3652,54,135,732
0,11326.5,37324,-3800,52,199,1752
4,12433.6,79718.1,-5.81E+03,55,272,3539
3,9008.15,39045.4,5.05E+02,13,196,1885
0,7818.45,10731,-3210,16,126,653
4,10304.8,17885.9,-3704.46,77,172,973
0,10771.8,52569,-6399,84,225,2747
3,8294.03,21168.9,-2829.41,77,145,1156
0,7474.26,7338,-2444,28,106,483
5,8464.69,11620.9,-2567.95,87,128,693
0,13346.1,94766,-6195,182,283,3798
4,8720.62,37780.9,-3936.78,46,180,2054
3,4899.97,2853.85,-1280.16,52,67,224
3,10938.1,86618.9,-2.43E+03,24,220,3450
0,12782.6,63943,-5420,57,250,2827
4,18607.9,161879,-1.10E+04,91,388,6290
3,10326.6,84462.7,-2.32E+03,21,220,3450
2,3915.43,2164.03,-1146.73,20,54,165
3,11294.8,112600,-3.14E+03,45,235,4905
2,2491.58,59.1342,-3.66E+02,92,33,5
0,7484.24,11864,-3752,85,132,730
4,5959.45,11032.3,-1917.57,26,102,764
4,9905.88,27555.1,-2.90E+03,34,194,1521
5,7511.96,7494.53,-1.47E+03,160,109,486
0,11256.8,51030,-5522,88,164,2054
